Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,162.409744,-89.438693,135.0,top
D2,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,117.0,-90.0,-135.0,top
D3,IR204A,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,139.5,-83.0,180.0,top
Q1,MMBT5551L,SOT-23,116.0,-104.0,90.0,top
Q2,MMBT5551L,SOT-23,167.0,-105.5,90.0,top
Q3,MMBT5551L,SOT-23,148.5,-88.9375,90.0,top
R1,2.7k,R_0805_2012Metric,120.0,-104.25,-90.0,top
R2,22,R_0805_2012Metric,126.5,-89.25,90.0,top
R3,2.7k,R_0805_2012Metric,160.0,-101.4625,90.0,top
R4,2.7k,R_0805_2012Metric,149.25,-93.9625,-90.0,top
R5,22,R_0805_2012Metric,162.5,-106.5,90.0,top
R6,22,R_0805_2012Metric,147.5,-85.0,180.0,top
U1,LM324,SOIC-14_3.9x8.7mm_P1.27mm,140.3025,-100.5575,90.0,top
U2,TSSP58038,Vishay_MINICAST-3Pin,124.44,-98.0,-135.0,top
U3,TSSP58038,Vishay_MINICAST-3Pin,155.0,-97.0,135.0,top
U4,TSSP58038,Vishay_MINICAST-3Pin,139.5,-93.5,180.0,top
